"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.758584761E1	-6.815862656E-2	-4.038363695E-3	-1.083621979E-1	1.280791657E-1
1.759384527E1	-5.882263184E-2	-1.358920336E-2	-1.177563667E-1	1.323303834E-1
1.760184507E1	-3.996133804E-2	-2.768930793E-2	-9.360647202E-2	1.054788032E-1
1.760984457E1	-4.506587982E-3	-3.421869874E-2	-5.977249146E-2	6.902158658E-2
1.761784523E1	4.414081573E-3	-5.023059249E-2	-2.818727493E-2	5.776780250E-2
1.762584679E1	-1.072883606E-3	-3.042778373E-2	1.780128479E-2	3.526877999E-2
1.763384601E1	1.998043060E-2	-4.187229276E-2	3.251504898E-2	5.665452249E-2
1.764184773E1	2.197551727E-2	-4.649105668E-2	3.281164169E-2	6.099955362E-2
1.764984480E1	4.957675934E-3	-5.167275667E-2	2.345275879E-2	5.696212977E-2
1.765784113E1	4.680156708E-3	-4.039141536E-2	1.652002335E-2	4.388942324E-2
1.766583636E1	4.204750061E-3	-4.158589244E-2	2.891826630E-2	5.082649406E-2
1.767383242E1	-1.784658432E-2	-3.582876921E-2	5.332183838E-2	6.667398085E-2
1.768183078E1	-5.414009094E-2	-2.802890539E-2	5.370807648E-2	8.124854746E-2
1.768982972E1	-5.675029755E-2	-6.115406752E-3	2.525377274E-2	6.241592352E-2
1.769783074E1	-4.958248138E-2	-1.284530759E-2	-5.753517151E-3	5.154151091E-2
1.770583339E1	-3.024864197E-2	1.958817244E-3	-1.536130905E-2	3.398215887E-2
1.771382921E1	-3.639221191E-3	1.230978966E-2	-1.547908783E-2	2.010912759E-2
1.772182792E1	1.333761215E-2	3.235810995E-2	-8.379459381E-3	3.598825527E-2
1.772982820E1	1.089239120E-2	4.330447316E-2	-1.546764374E-2	4.725642374E-2
1.773782257E1	-5.787849426E-3	4.491803050E-2	-4.900217056E-2	6.672586743E-2
1.774581527E1	-1.805496216E-2	3.489223123E-2	-5.593395233E-2	6.835244313E-2
1.775380996E1	-2.610254288E-2	1.601180434E-2	-4.331636429E-2	5.304741311E-2
1.776180945E1	-4.680442810E-2	7.058829069E-3	-3.861427307E-3	4.749096944E-2
1.776980730E1	-6.096506119E-2	1.280865073E-2	4.803800583E-2	7.866670340E-2
1.777780554E1	-9.964561462E-2	1.788258553E-3	4.770994186E-2	1.104929180E-1
1.778580425E1	-1.364350319E-1	2.361893654E-3	4.539394379E-2	1.438078809E-1
1.779380265E1	-1.400952339E-1	-6.986409426E-3	4.818820953E-2	1.483158387E-1
1.780179980E1	-1.371746063E-1	-1.675346494E-2	1.794958115E-2	1.393547225E-1
1.780979710E1	-9.862041473E-2	6.756782532E-3	-3.360176086E-2	1.044065067E-1
1.781779582E1	-5.096721649E-2	8.415132761E-3	-7.997751236E-2	9.520963239E-2
1.782579445E1	-6.077766418E-3	1.205942035E-2	-9.491586685E-2	9.587174059E-2
1.783379336E1	-2.102851868E-3	1.326104999E-2	-9.531545639E-2	9.625649931E-2
1.784179496E1	-1.244211197E-2	1.442521811E-2	-9.095716476E-2	9.293061331E-2
1.784979539E1	-1.534605026E-2	1.535168290E-2	-1.083216667E-1	1.104751506E-1
1.785779695E1	-5.517005920E-3	-5.263268948E-3	-1.382436752E-1	1.384537941E-1
1.786579632E1	2.183866501E-2	-1.380816102E-2	-1.639733315E-1	1.659965241E-1
1.787379234E1	1.876640320E-2	-1.730251312E-2	-1.543421745E-1	1.564386835E-1
1.788179101E1	2.346849442E-2	-3.730010986E-2	-1.451835632E-1	1.517245381E-1
1.788978980E1	6.003475189E-2	-2.835550904E-2	-1.318230629E-1	1.475992081E-1
1.789779113E1	6.828737259E-2	-3.846490383E-2	-1.187915802E-1	1.423170883E-1
1.790579433E1	4.374933243E-2	-3.907880187E-2	-1.158981323E-1	1.298981675E-1
1.791379976E1	1.745462418E-2	-2.527543902E-2	-1.182923317E-1	1.222153323E-1
1.792180386E1	1.593065262E-2	1.242986321E-2	-1.213288307E-1	1.229998876E-1
1.792980906E1	1.713228226E-2	-5.050063133E-3	-1.509523392E-1	1.520053517E-1
1.793781668E1	1.690864563E-3	3.974616528E-3	-1.591281891E-1	1.591867996E-1
1.794581980E1	-6.507396698E-3	1.319214702E-2	-1.218714714E-1	1.227559958E-1
1.795382101E1	1.879692078E-3	8.289903402E-3	-8.209943771E-2	8.253831482E-2
1.796182203E1	-2.075338364E-2	2.716132998E-2	-5.676412582E-2	6.626165376E-2
1.796982476E1	-4.589843750E-2	2.220296860E-2	-6.964921951E-2	8.631716028E-2
1.797782640E1	-2.063131332E-2	5.320698023E-3	-6.588268280E-2	6.924224729E-2
1.798582695E1	-3.399801254E-2	1.019597054E-2	-3.314352036E-2	4.856249184E-2
1.799382754E1	-3.566312790E-2	1.754236221E-2	1.416540146E-2	4.219302978E-2
1.800182902E1	-3.261327744E-2	3.223630786E-2	1.603221893E-2	4.857815819E-2
1.800982765E1	-2.740240097E-2	2.040651441E-2	-1.064062119E-2	3.578463676E-2
1.801783074E1	-4.155206680E-2	1.688927412E-3	-3.477478027E-2	5.420988908E-2
1.802583488E1	-6.544256210E-2	1.657778025E-2	-5.639266968E-2	8.796411158E-2
1.803383832E1	-6.311845779E-2	1.732194424E-2	-6.116962433E-2	8.958634052E-2
1.804184578E1	-4.411649704E-2	2.789124846E-2	-5.153179169E-2	7.334652416E-2
1.804985148E1	-4.434537888E-2	4.812216759E-2	-5.141592026E-2	8.322170689E-2
1.805785597E1	-4.457330704E-2	3.949475288E-2	-7.284116745E-2	9.408746400E-2
1.806586105E1	-5.183839798E-2	2.629932761E-2	-1.039676666E-1	1.191140203E-1
1.807386343E1	-5.884790421E-2	1.540404558E-2	-1.161351204E-1	1.311019704E-1
1.808186375E1	-4.203319550E-2	9.491473436E-3	-8.512496948E-2	9.541036642E-2
1.808986457E1	-4.423713684E-2	2.041324973E-2	-4.943561554E-2	6.940824968E-2
1.809786730E1	-5.560493469E-2	7.347792387E-3	-3.082323074E-2	6.399976850E-2
1.810586589E1	-5.691337585E-2	-8.143782616E-3	-2.934122086E-2	6.454735307E-2
1.811386460E1	-5.790472031E-2	-6.986856461E-3	-1.852273941E-2	6.119529943E-2
1.812186742E1	-5.149984360E-2	-2.272316813E-2	-3.072261810E-3	5.637388627E-2
1.812986875E1	-4.501533508E-2	-2.178069949E-2	9.926319122E-3	5.098343922E-2
1.813786964E1	-4.080104828E-2	-2.826243639E-2	1.326751709E-2	5.137623829E-2
1.814587136E1	-4.132556915E-2	-3.264853358E-2	-2.565860748E-3	5.272867391E-2
1.815387761E1	-3.481960297E-2	-3.235971928E-2	3.272056580E-3	4.764727208E-2
1.816188230E1	-1.170063019E-2	-3.459829092E-2	2.838563919E-2	4.625679403E-2
1.816988597E1	1.333522797E-2	-3.711852431E-2	4.909563065E-2	6.297613914E-2
1.817788531E1	6.937026978E-3	-2.093815804E-2	6.049299240E-2	6.438890382E-2
1.818588421E1	-1.863002777E-2	-1.717674732E-2	5.277299881E-2	5.854150653E-2
1.819388507E1	-1.090574265E-2	-8.943021297E-3	2.152442932E-3	1.426695003E-2
1.820188609E1	-5.131912231E-2	-5.700767040E-3	-2.910852432E-2	5.927442322E-2
1.820988656E1	-5.812025070E-2	1.686140895E-2	-5.805492401E-2	8.386086605E-2
1.821788652E1	-3.649044037E-2	3.971323371E-2	-7.960605621E-2	9.615517332E-2
1.822588718E1	-1.751518250E-2	3.660434484E-2	-9.139871597E-2	1.000019248E-1
1.823388593E1	-1.321840286E-2	4.831862450E-2	-6.706333160E-2	8.370726428E-2
1.824188351E1	7.478713989E-3	2.930331230E-2	-7.120227814E-2	7.735877253E-2
1.824988312E1	3.764915466E-2	2.493789792E-2	-6.091165543E-2	7.582603357E-2
1.825788582E1	4.134273529E-2	1.356530190E-2	-4.094600677E-2	5.974792589E-2
1.826588792E1	1.147747040E-2	1.180595160E-2	-3.531742096E-2	3.896707640E-2
1.827389175E1	1.281785965E-2	-4.292279482E-3	-2.975130081E-2	3.267814391E-2
1.828189042E1	-1.190376282E-2	-5.878090858E-3	-3.398227692E-2	3.648351225E-2
1.828989136E1	-3.647661209E-2	2.026677132E-3	-8.381271362E-2	9.142877892E-2
1.829789445E1	-5.371236801E-2	-6.744801998E-3	-7.630729675E-2	9.355914904E-2
1.830589621E1	-6.831598282E-2	-8.175641298E-3	-6.181144714E-2	9.249091640E-2
1.831389777E1	-4.689216614E-2	-1.434314251E-2	-5.698394775E-2	7.517826337E-2
1.832190011E1	-5.400943756E-2	-2.275368571E-2	-8.104085922E-2	1.000118514E-1
1.832990156E1	-6.580924988E-2	-1.918965578E-2	-9.560298920E-2	1.176394143E-1
1.833790421E1	-3.902530670E-2	-2.733808756E-2	-9.124040604E-2	1.029327804E-1
1.834590656E1	-1.437282562E-2	-3.067082167E-2	-1.134171486E-1	1.183669169E-1
1.835390781E1	-3.266000748E-2	-3.173837066E-2	-1.021881104E-1	1.118767633E-1
1.836190839E1	-5.790042877E-2	-3.502038121E-2	-9.832859039E-2	1.193624666E-1
1.836990898E1	-5.409765244E-2	-3.360188007E-2	-7.315921783E-2	9.699439931E-2
