"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.165639749E1	-9.614154696E-4	1.139640808E-2	3.559684753E-2	3.738900896E-2
1.166439648E1	-8.142687380E-3	1.867431402E-2	3.080558777E-2	3.693260889E-2
1.167239507E1	3.879398108E-3	1.880231500E-2	3.080177307E-2	3.629498592E-2
1.168039433E1	4.026457667E-3	1.643684506E-2	3.558731079E-2	3.940607728E-2
1.168839726E1	1.360124350E-2	1.400798559E-2	3.319358826E-2	3.851015173E-2
1.169639519E1	1.675099134E-3	1.872241497E-2	3.080177307E-2	3.608440111E-2
1.170439406E1	-1.015093923E-2	9.070992470E-3	2.840805054E-2	3.150145722E-2
1.171239827E1	-5.456238985E-3	1.814514399E-3	1.883411407E-2	1.969230457E-2
1.172039925E1	1.777537167E-3	1.136943698E-2	3.080558777E-2	3.288476811E-2
1.172839929E1	-1.010033488E-2	1.937478781E-3	3.079986572E-2	3.247156167E-2
1.173639839E1	1.164042950E-2	6.677418947E-3	3.798198700E-2	4.028298473E-2
1.174440050E1	2.063617110E-3	1.151371002E-2	4.037475586E-2	4.203504425E-2
1.175240355E1	-2.347379923E-4	9.119510651E-3	3.558540344E-2	3.673610642E-2
1.176040300E1	4.507079720E-3	1.170486212E-2	2.839756012E-2	3.104414575E-2
1.176840245E1	-1.234813780E-2	2.223849297E-3	4.036712646E-2	4.227205829E-2
1.177640003E1	-2.821892500E-3	2.272844315E-3	2.600193024E-2	2.625317647E-2
1.178439925E1	-5.314528942E-3	1.185074449E-2	1.881885529E-2	2.286555656E-2
1.179240148E1	-7.708728313E-3	1.185074449E-2	2.360725403E-2	2.751666913E-2
1.180040113E1	-7.756650448E-3	9.360700846E-3	1.642894745E-2	2.043767748E-2
1.180840288E1	4.024080932E-3	1.424434781E-2	3.318691254E-2	3.633821454E-2
1.181640577E1	-3.348827362E-3	7.109105587E-3	2.361106873E-2	2.488446490E-2
1.182440472E1	-3.443337977E-3	4.762291908E-3	2.839946747E-2	2.900113365E-2
1.183240265E1	1.439496875E-3	1.194539666E-2	3.558158875E-2	3.756080551E-2
1.184040296E1	3.930836916E-3	1.189699769E-2	3.558158875E-2	3.772319566E-2
1.184840167E1	1.491390169E-3	4.761189222E-3	3.318691254E-2	3.355986191E-2
1.185640187E1	-8.230425417E-3	1.438644528E-2	1.882171631E-2	2.507920882E-2
1.186440284E1	-8.375465870E-3	7.108598948E-3	1.882553101E-2	2.179635807E-2
1.187240320E1	5.988396704E-3	1.429173350E-2	3.319072723E-2	3.662975452E-2
1.188040238E1	1.342371106E-3	-7.286667824E-5	2.361297607E-2	2.365121369E-2
1.188840351E1	1.339703798E-3	1.678341627E-2	2.361011505E-2	2.899854136E-2
1.189640406E1	3.684662282E-3	9.553462267E-3	3.558349609E-2	3.702742999E-2
1.190440699E1	-1.082038134E-2	1.438346505E-2	2.361202240E-2	2.968993636E-2
1.191241476E1	3.592714667E-3	7.200807333E-3	3.797721863E-2	3.882046316E-2
1.192042187E1	-3.684416413E-3	1.198872924E-2	3.558349609E-2	3.772916309E-2
1.192843050E1	-1.480683684E-3	7.103800774E-3	3.558921814E-2	3.632146552E-2
1.193643394E1	-8.713923395E-3	9.547054768E-3	3.558826447E-2	3.786295397E-2
1.194443366E1	-1.101091504E-2	7.248222828E-3	3.319072723E-2	3.571276184E-2
1.195243128E1	-8.571483195E-3	7.153540850E-3	3.558635712E-2	3.729654520E-2
1.196042816E1	-8.560515940E-3	1.197320223E-2	2.600955963E-2	2.988540107E-2
1.196842667E1	-6.166301668E-3	2.444297075E-3	3.079605103E-2	3.150229552E-2
1.197642488E1	9.205117822E-4	7.089018822E-3	3.558921814E-2	3.630005479E-2
1.198441988E1	-1.342809200E-2	1.659554243E-2	3.559112549E-2	4.150245652E-2
1.199241866E1	-3.804750741E-3	2.135157585E-3	3.080558777E-2	3.111300795E-2
1.200041515E1	-1.084233820E-2	9.269267321E-3	2.840995789E-2	3.178995630E-2
1.200841402E1	-8.397601545E-3	6.921768188E-3	3.319644928E-2	3.493472243E-2
